threshold,precision,recall,f1,best_f1
0.0,0.153,1.0,0.2653946227233304,False
0.05,0.4528301886792453,0.9411764705882353,0.6114649681528662,False
0.1,0.568,0.9281045751633987,0.7047146401985112,False
0.15000000000000002,0.6682692307692307,0.9084967320261438,0.7700831024930748,False
0.2,0.7405405405405405,0.8954248366013072,0.8106508875739645,False
0.25,0.7758620689655172,0.8823529411764706,0.8256880733944955,False
0.30000000000000004,0.8170731707317073,0.8758169934640523,0.8454258675078864,False
0.35000000000000003,0.8198757763975155,0.8627450980392157,0.8407643312101911,False
0.4,0.8441558441558441,0.8496732026143791,0.8469055374592834,True
0.45,0.8551724137931035,0.8104575163398693,0.8322147651006712,False
0.5,0.9022556390977443,0.7843137254901961,0.8391608391608392,False
0.55,0.9153846153846154,0.7777777777777778,0.8409893992932862,False
0.6000000000000001,0.9349593495934959,0.7516339869281046,0.8333333333333334,False
0.65,0.9478260869565217,0.7124183006535948,0.8134328358208955,False
0.7000000000000001,0.972972972972973,0.7058823529411765,0.8181818181818182,False
0.75,0.9903846153846154,0.673202614379085,0.8015564202334631,False
0.8,0.99,0.6470588235294118,0.782608695652174,False
0.8500000000000001,1.0,0.5882352941176471,0.7407407407407407,False
0.9,1.0,0.5032679738562091,0.6695652173913044,False
0.9500000000000001,1.0,0.39215686274509803,0.5633802816901409,False
1.0,0.0,0.0,0.0,False
